NOC,NOC(group),COUNT_Athlete
ZIM,Other,2
VEN,Other,2
UZB,Other,14
USA,Other,1033
UKR,Other,305
TUR,Other,37
TPE,Other,7
TOG,Other,3
TLS,Other,1
TJK,Other,8
THA,Other,4
TGA,Other,1
SWE,Other,488
SVK,Other,336
SUI,Other,590
SRB,Other,32
SMR,Other,4
SLO,Other,319
SEN,Other,5
SCG,Other,11
RUS,Other,915
RSA,Other,11
ROU,Other,142
PRK,Other,10
POR,Other,6
POL,Other,346
PHI,Other,1
PER,Other,10
PAR,Other,1
PAK,Other,2
NZL,Other,58
NOR,NOR,570
NEP,Other,3
NED,Other,210
MON,Other,27
MNE,Other,5
MLT,Other,2
MKD,Other,15
MGL,Other,6
MEX,Other,3
MDA,Other,26
MAR,Other,6
MAD,Other,2
LUX,Other,2
LTU,Other,47
LIE,Other,22
LIB,Other,16
LAT,Other,255
KOR,Other,299
KGZ,Other,7
KEN,Other,1
KAZ,Other,312
JPN,Other,514
JAM,Other,3
IVB,Other,1
ITA,Other,725
ISV,Other,2
ISR,Other,16
ISL,Other,30
IRL,Other,20
IRI,Other,17
IOA,Other,1
IND,Other,10
HUN,Other,101
HKG,Other,7
GRE,Other,33
GHA,Other,1
GER,Other,793
GEO,Other,20
GBR,Other,210
FRA,Other,556
FIN,Other,433
ETH,Other,2
EST,Other,193
ESP,Other,102
DMA,Other,1
DEN,Other,42
CZE,Other,521
CYP,Other,8
CRO,Other,108
CRC,Other,1
COL,Other,2
CHN,Other,382
CHI,Other,39
CAY,Other,3
CAN,Other,972
BUL,Other,132
BRA,Other,36
BLR,Other,237
BIH,Other,33
BER,Other,3
BEL,Other,29
AZE,Other,10
AUT,Other,477
AUS,Other,178
ARM,Other,21
ARG,Other,57
AND,Other,42
ALG,Other,4
ALB,Other,7
